request_id,timestamp,_id,date,day_name,hour,city,station_id,station_name,free_bikes,empty_slots
Toronto-OzmU3kZo,2024-07-25T05:54:16.296000Z,JaneSt/FinchAveW--jjZ4IHwE,2024-07-25,Thursday,00:03,Toronto,9052dabe138fde46f56ee3a693b040cf,Jane St / Finch Ave W,0,15
Toronto-SACyS7el,2024-07-25T05:54:21.160000Z,UnoDr/TheQueensway--dd4Ht8en,2024-07-25,Thursday,00:03,Toronto,100594f0c1240ddcfb94c20a7fc54492,Uno Dr / The Queensway,13,2
Toronto-kcEtkxPx,2024-07-25T05:54:16.400000Z,SimcoeSt/ElmSt--iQxhv6pN,2024-07-25,Thursday,00:03,Toronto,301eed3e90079c5aacccf8f091da64b3,Simcoe St / Elm St,1,10
Toronto-cTdTWLcX,2024-07-25T05:54:22.259000Z,OverleaBlvd/ThorncliffeParkDr--WSBLIF4n,2024-07-25,Thursday,00:03,Toronto,0ed2c0bb820523fc4d79b053e79fab5e,Overlea Blvd / Thorncliffe Park Dr,0,18
Toronto-9UZm0Qtc,2024-07-25T05:54:16.220000Z,TheKingsway/AshleyRd--BSm8pYK2,2024-07-25,Thursday,00:03,Toronto,be2b9ca08b33ec742028063154706378,The Kingsway / Ashley Rd,2,11
Toronto-DYVAwaXo,2024-07-25T05:54:16.204000Z,DundasStW/PrinceEdwardDrN--ii0QB315,2024-07-25,Thursday,00:03,Toronto,9c009c161f6266165386889055afdbd6,Dundas St W / Prince Edward Dr N,3,13
Toronto-96taD8bp,2024-07-25T05:54:22.162000Z,60BroadwayAve--e3EtK929,2024-07-25,Thursday,00:03,Toronto,4ce279295f87f42bab37bb1e47448630,60 Broadway Ave,0,13
Toronto-Yk4UG8KH,2024-07-25T05:54:22.373000Z,Opposite1103LeslieSt--vc134DNd,2024-07-25,Thursday,00:03,Toronto,9522f94ed6253c90336abf00346620aa,Opposite 1103 Leslie St,9,10
Toronto-OWYotaJV,2024-07-25T05:54:22.661000Z,WidmerSt/AdelaideStW-SMART--j9teeCLf,2024-07-25,Thursday,00:03,Toronto,7217236fd8a18e75df0b026ba219f2ac,Widmer St / Adelaide St W - SMART,5,6
Toronto-9kYeboE8,2024-07-25T05:54:16.288000Z,800FleetSt(North)--EF9ww7ej,2024-07-25,Thursday,00:03,Toronto,cd1365da833091487f8bb6167af3b51c,800 Fleet St (North),7,5
Toronto-tymC9GkD,2024-07-25T05:54:22.324000Z,800FleetSt(South)--FUvrweoM,2024-07-25,Thursday,00:03,Toronto,0f773cf33d1731bf05d678ebb945021e,800 Fleet St (South),7,26
Toronto-ZsnyT5DS,2024-07-25T05:54:22.424000Z,Queen'sParkCresE/GrosvenorSt-SMART--FJdB6KRD,2024-07-25,Thursday,00:03,Toronto,8402cda81d70fbc893e5337366df8d58,Queen's Park Cres E / Grosvenor St - SMART,0,15
Toronto-y0xilxqJ,2024-07-25T05:54:22.142000Z,ErskineAve/RedpathAve--KPCoe5gI,2024-07-25,Thursday,00:03,Toronto,6af8017ad238ae1d069be67118ce5fc5,Erskine Ave / Redpath Ave,14,0
